"id","itemKey","name","type","value","flags__CONSUMABLE","flags__PURCHASEABLE","flags__REUSABLE","flags__TRADEABLE","rarity","description","longDescription","imageURL"
"126","aplus","A plus","Sellable","100000","False","False","False","True","Rare","An A+ you can sell for some profit, woo for cheating! Found from the teacher job.","null","https://cdn.discordapp.com/emojis/991732639348293663.gif"
"86","adventureticket","Adventure Ticket","Tool","200000","False","True","False","True","Rare","A ticket to start an adventure!","This can be found in limited stock in the shop, from voting or being a patron! These are used to start an adventure in the adventure command.","https://cdn.discordapp.com/emojis/934112100970807336.png"
"177","adventurevoucher","Adventure Voucher","Collectable","200000","True","False","False","True","Rare","Exchange this with the bot to get a certain lootbox themed after an adventure!","null","https://cdn.discordapp.com/emojis/1007023088493400084.png"
"46","aetheryxflower","Aetheryx' Flower","Collectable","5000000","False","False","False","True","Epic","A no longer vibrant red flower, a wisp of its former self.","null","https://cdn.discordapp.com/emojis/936688654531825764.png"
"173","aipheysgemstone","Aiphey's Gemstone","Collectable","1000000","False","False","False","True","Rare","An amazing gemstone","null","https://cdn.discordapp.com/emojis/960656161479209040.png"
"152","alcohol","Alcohol","Power-up","20000","True","False","False","True","Uncommon","Down some alcohol and maybe you'll get lucky! Maybe.","Drink a bottle of alcohol, and have the potential to gain a slight luck boost that will grant you better luck in stealing from others. However, you become more susceptible to being stolen from!","https://cdn.discordapp.com/emojis/984501149501653082.png"
"187","alexasmegaphone","Alexa's Megaphone","Collectable","1000000","False","False","False","True","Rare","The voice of the people","null","https://cdn.discordapp.com/emojis/1000515380286083104.png"
"85","aliensample","Alien Sample","Collectable","500000","False","False","False","True","Rare","A collectible sample of alien tissue","null","https://cdn.discordapp.com/emojis/933475704434196540.gif"
"172","amathinesbutterfly","Amathine's Butterfly","Collectable","1000000","False","False","False","True","Rare","A beautiful butterfly","null","https://cdn.discordapp.com/emojis/968274752135368704.gif"
"132","ammo","Ammo","Power-up","100000","True","False","False","True","Rare","While this item is active (1 hour), you will always find an animal while hunting. Found from the professional hunter job.","null","https://cdn.discordapp.com/emojis/976514724336402462.png"
"11","ant","Ant","Sellable","1000","False","False","False","True","Common","This ant is not alive; I think someone shot it? Who shoots an ant wtf.","This ant is not alive; I think someone shot it? Who shoots an ant wtf. This item's purpose is to be collected or sold. Nothing more, nothing less.","https://cdn.discordapp.com/emojis/864220608865763378.png"
"109","antirobpack","Anti-Rob Pack","Pack","100000","True","True","False","True","Rare","A pack containing basic items to avoid getting robbed.","null","https://cdn.discordapp.com/emojis/873172443462791200.png"
