items/id,items/itemKey,items/name,items/type,items/value,items/flags/CONSUMABLE,items/flags/PURCHASEABLE,items/flags/REUSABLE,items/rarity,items/description,items/longDescription,items/imageURL
126,aplus,A plus,Sellable,1000000,false,false,false,Rare,The only time I earned this is when I edited it on my professor's pc., Found from the teacher job.,https://cdn.discordapp.com/emojis/991732639348293663.gif
86,adventureticket,Adventure Ticket,Tool,200000,false,true,false,Rare,"Adventure time, grab your ticket!",This ticket is used as an entry fee when you start the adventure command.,https://cdn.discordapp.com/emojis/934112100970807336.png
177,adventurevoucher,Adventure Voucher,Collectable,1500000,true,false,false,Rare,Grandma printed me off this voucher for one free box!,Using this item allows you to exchange it for an adventure themed lootbox.,https://cdn.discordapp.com/emojis/1007023088493400084.png
46,aetheryxflower,Aetheryx' Flower,Collectable,5000000,false,false,false,Epic,"A decomposing red flower, a wisp of its former self.",,https://cdn.discordapp.com/emojis/936688654531825764.png
173,aipheysgemstone,Aiphey's Gemstone,Collectable,1000000,false,false,false,Rare,"Aiphey's gemstone is a precious stone. It vibrates at a high frequency, creating a bubble of spiritual protection against negative energy. It is such a sacred and a rare stone, if you ever manage to get it, you must protect it at all costs.",,https://cdn.discordapp.com/emojis/960656161479209040.png
152,alcohol,Alcohol,Power-up,20000,true,false,false,Uncommon,"This is the cheap stuff. Not quite Bud Lite, but similar.","Drink a bottle of alcohol, and have the potential to gain a slight luck boost that will grant you better luck in stealing from others. However, you become more susceptible to being stolen from! There is also a 10% chance you will die from alcohol poisoning.",https://cdn.discordapp.com/emojis/984501149501653082.png
187,alexasmegaphone,Alexa's Megaphone,Collectable,1000000,false,false,false,Rare,The voice of the people echo through this.,,https://cdn.discordapp.com/emojis/1000515380286083104.png
85,aliensample,Alien Sample,Collectable,500000,false,false,false,Rare,This is payback for the samples they've taken from us!,,https://cdn.discordapp.com/emojis/933475704434196540.gif
172,amathinesbutterfly,Amathine's Butterfly,Collectable,1000000,false,false,false,Rare,"A beautiful butterfly in the sky, but I think I can fly twice as high.",,https://cdn.discordapp.com/emojis/968274752135368704.gif
132,ammo,Ammo,Power-up,100000,true,false,false,Rare,Does this ammo even fit the hunting rifle?,"While this item is active, you cannot find ""nothing"" while hunting. Found from the professional hunter job.",https://cdn.discordapp.com/emojis/976514724336402462.png
11,ant,Ant,Sellable,2000,false,false,false,Common,"The movie ""Antz"" is in fact one of the movies of all time.",,https://cdn.discordapp.com/emojis/864220608865763378.png
109,antirobpack,Anti-Rob Pack,Pack,100000,true,true,false,Rare,"Try not to get robbed. Unless you're into that, then do what you want.",Opening this will give you some basic rob deterrence items.,https://cdn.discordapp.com/emojis/873172443462791200.png
169,apple,Apple,Power-up,8500,true,false,false,Uncommon,"Sweet apples are better than tart, no one will change my mind.",Eating this once a day makes it so you do not lose any inventory or active items if you die. The lifesaver takes priority over this effect. (Lasts 24 hours),https://cdn.discordapp.com/emojis/887000049266069575.png
31,armpithair,Armpit Hair,Collectable,25000,false,false,true,Common,It tastes funny!,Using this lets you do something gross.,https://cdn.discordapp.com/emojis/926267869258457139.png
142,baby,Baby,Collectable,100000,false,false,false,Rare,This is a virtual baby. Not a real baby. Needed to clear that up for some people., Found from the babysitter job.,https://cdn.discordapp.com/emojis/937502609550503936.png
42,badoszcard,Badosz's Card,Collectable,1000000,false,false,false,Epic,A real king in the sleeve.,,https://cdn.discordapp.com/emojis/869294028385038354.gif
135,banhammer,Ban Hammer,Sellable,120000,false,false,false,Rare,"Mods swing this hard and fast, which also happens to be the title of my next se-", Found from the discord mod job.,https://cdn.discordapp.com/emojis/979435284603215932.png
59,banknote,Bank Note,Power-up,200000,true,true,false,Uncommon,"Imagine if banks actually had a max amount. Wait, some do? Thanks Obama.",You can use this item to expand your max bank space.,https://cdn.discordapp.com/emojis/830509316888985621.png
185,sludgesbarrel,Barrel of Sludge,Collectable,1000000,false,false,false,Rare,"Toxic and stinky, but with something good inside.",,https://cdn.discordapp.com/emojis/998740316565807124.gif
130,beaker,Beaker of sus fluid,Sellable,1000000,false,false,false,Rare,"Please do not drink this, I think it came from Craig's room.", Found from the scientist job.,https://cdn.discordapp.com/emojis/980475704414187590.png
7,bean,Bean,Sellable,15000,false,false,false,Uncommon,A bean that isn't green.,,https://cdn.discordapp.com/emojis/905951197821800500.png
49,beanmp3,Bean Mp3 Player,Collectable,50000000,true,false,false,Legendary,"Beans beans, the magical fruit. The more you eat, the more your voice turns into an mp3 file.",Using this posts an audio file of B E A N S.,https://cdn.discordapp.com/emojis/922652278308093952.png
